,scenario_name,year_id,val
0,High,2023,148880556.0
1,High,2024,298013185.0
2,High,2025,447424636.0
3,High,2026,597087102.0
4,High,2027,755981002.0
5,High,2028,915232670.0
6,High,2029,1074884838.0
7,High,2030,1234916544.0
8,High,2031,1395316178.0
9,High,2032,1562292430.0
10,High,2033,1729700348.0
11,High,2034,1897579940.0
12,High,2035,2065906716.0
13,High,2036,2234607957.0
14,High,2037,2403823389.0
15,High,2038,2573552082.0
16,High,2039,2743639340.0
17,High,2040,2914208656.0
18,High,2041,3085325329.0
19,High,2042,3257040492.0
20,High,2043,3429380631.0
21,High,2044,3602381421.0
22,High,2045,3776070960.0
23,High,2046,3950515632.0
24,High,2047,4125782150.0
25,High,2048,4301866146.0
26,High,2049,4478755775.0
27,High,2050,4656612761.0
28,High,2051,4835365942.0
29,High,2052,5015406392.0
30,High,2053,5196495972.0
31,High,2054,5378807920.0
32,High,2055,5562315975.0
33,High,2056,5747104118.0
34,High,2057,5933142714.0
35,High,2058,6120405676.0
36,High,2059,6308667027.0
37,High,2060,6498190473.0
38,High,2061,6688945881.0
39,High,2062,6880949255.0
40,High,2063,7073927008.0
41,High,2064,7267926464.0
42,High,2065,7462577284.0
43,High,2066,7657994843.0
44,High,2067,7854273013.0
45,High,2068,8051130872.0
46,High,2069,8248611302.0
47,High,2070,8446592547.0
48,High,2071,8645154479.0
49,High,2072,8844391666.0
50,High,2073,9044227519.0
51,High,2074,9244589834.0
52,High,2075,9445507750.0
53,High,2076,9646941859.0
54,High,2077,9848925025.0
55,High,2078,10051611564.0
56,High,2079,10255126164.0
57,High,2080,10459358827.0
58,High,2081,10664376117.0
59,High,2082,10870368707.0
60,High,2083,11077230476.0
61,High,2084,11284961215.0
62,High,2085,11493444263.0
63,High,2086,11702654310.0
64,High,2087,11912725050.0
65,High,2088,12123799174.0
66,High,2089,12335590752.0
67,High,2090,12548173706.0
68,High,2091,12761397330.0
69,High,2092,12975495957.0
70,High,2093,13190227217.0
71,High,2094,13405863257.0
72,High,2095,13622119473.0
73,High,2096,13839040955.0
74,High,2097,14056501308.0
75,High,2098,14274637297.0
76,High,2099,14493456651.0
77,High,2100,14712784453.0
78,Low,2023,119677425.0
79,Low,2024,239512764.0
80,Low,2025,359526451.0
81,Low,2026,479683583.0
82,Low,2027,591201100.0
83,Low,2028,702884811.0
84,Low,2029,814760774.0
85,Low,2030,926790815.0
86,Low,2031,1038948626.0
87,Low,2032,1145329001.0
88,Low,2033,1251803855.0
89,Low,2034,1358395017.0
90,Low,2035,1465068751.0
91,Low,2036,1571753027.0
92,Low,2037,1678563503.0
93,Low,2038,1785434411.0
94,Low,2039,1892113146.0
95,Low,2040,1998595139.0
96,Low,2041,2104811847.0
97,Low,2042,2210644728.0
98,Low,2043,2315934143.0
99,Low,2044,2420547613.0
100,Low,2045,2524342364.0
101,Low,2046,2627213637.0
102,Low,2047,2729042201.0
103,Low,2048,2829636650.0
104,Low,2049,2928812119.0
105,Low,2050,3026553281.0
106,Low,2051,3122661051.0
107,Low,2052,3217368225.0
108,Low,2053,3310402534.0
109,Low,2054,3401886126.0
110,Low,2055,3491812991.0
111,Low,2056,3580279806.0
112,Low,2057,3667315484.0
113,Low,2058,3752964808.0
114,Low,2059,3837173168.0
115,Low,2060,3920228437.0
116,Low,2061,4002201812.0
117,Low,2062,4083218569.0
118,Low,2063,4163204384.0
119,Low,2064,4242338099.0
120,Low,2065,4320471281.0
121,Low,2066,4397776978.0
122,Low,2067,4474393795.0
123,Low,2068,4550193562.0
124,Low,2069,4625231813.0
125,Low,2070,4699459137.0
126,Low,2071,4772937899.0
127,Low,2072,4845729257.0
128,Low,2073,4917750342.0
129,Low,2074,4988921532.0
130,Low,2075,5059228693.0
131,Low,2076,5128604083.0
132,Low,2077,5197010838.0
133,Low,2078,5264519521.0
134,Low,2079,5331133054.0
135,Low,2080,5396765107.0
136,Low,2081,5461410794.0
137,Low,2082,5525142547.0
138,Low,2083,5587882866.0
139,Low,2084,5649629310.0
140,Low,2085,5710326350.0
141,Low,2086,5769963442.0
142,Low,2087,5828629814.0
143,Low,2088,5886407175.0
144,Low,2089,5943176555.0
145,Low,2090,5999029513.0
146,Low,2091,6053930260.0
147,Low,2092,6108019126.0
148,Low,2093,6161239490.0
149,Low,2094,6213738374.0
150,Low,2095,6265419699.0
151,Low,2096,6316357172.0
152,Low,2097,6366519478.0
153,Low,2098,6416005184.0
154,Low,2099,6464830394.0
155,Low,2100,6512962331.0
156,Medium,2023,134279612.0
157,Medium,2024,268764171.0
158,Medium,2025,403476299.0
159,Medium,2026,538383357.0
160,Medium,2027,673581738.0
161,Medium,2028,809037346.0
162,Medium,2029,944784239.0
163,Medium,2030,1080793196.0
164,Medium,2031,1217046777.0
165,Medium,2032,1353695659.0
166,Medium,2033,1490606735.0
167,Medium,2034,1627811004.0
168,Medium,2035,1765281560.0
169,Medium,2036,1902953378.0
170,Medium,2037,2040956499.0
171,Medium,2038,2179250858.0
172,Medium,2039,2317617419.0
173,Medium,2040,2456090868.0
174,Medium,2041,2594647443.0
175,Medium,2042,2733225692.0
176,Medium,2043,2871725851.0
177,Medium,2044,3010065524.0
178,Medium,2045,3148151773.0
179,Medium,2046,3285931768.0
180,Medium,2047,3423343584.0
181,Medium,2048,3560253307.0
182,Medium,2049,3696529353.0
183,Medium,2050,3832216750.0
184,Medium,2051,3967161704.0
185,Medium,2052,4101666281.0
186,Medium,2053,4235473653.0
187,Medium,2054,4368737641.0
188,Medium,2055,4501452329.0
189,Medium,2056,4633719120.0
190,Medium,2057,4765550012.0
191,Medium,2058,4896967764.0
192,Medium,2059,5027843211.0
193,Medium,2060,5158459257.0
194,Medium,2061,5288841933.0
195,Medium,2062,5419071039.0
196,Medium,2063,5548987073.0
197,Medium,2064,5678717658.0
198,Medium,2065,5808015353.0
199,Medium,2066,5937030913.0
200,Medium,2067,6065882342.0
201,Medium,2068,6194363906.0
202,Medium,2069,6322520191.0
203,Medium,2070,6450254223.0
204,Medium,2071,6577620983.0
205,Medium,2072,6704678646.0
206,Medium,2073,6831326324.0
207,Medium,2074,6957464879.0
208,Medium,2075,7083075243.0
209,Medium,2076,7208077520.0
210,Medium,2077,7332442999.0
211,Medium,2078,7456257988.0
212,Medium,2079,7579561510.0
213,Medium,2080,7702237322.0
214,Medium,2081,7824299238.0
215,Medium,2082,7945863528.0
216,Medium,2083,8066831684.0
217,Medium,2084,8187197569.0
218,Medium,2085,8306876347.0
219,Medium,2086,8425851691.0
220,Medium,2087,8544236535.0
221,Medium,2088,8662144269.0
222,Medium,2089,8779386415.0
223,Medium,2090,8896054534.0
224,Medium,2091,9012068563.0
225,Medium,2092,9127617213.0
226,Medium,2093,9242568872.0
227,Medium,2094,9357130226.0
228,Medium,2095,9471125424.0
229,Medium,2096,9584618328.0
230,Medium,2097,9697536285.0
231,Medium,2098,9809993437.0
232,Medium,2099,9921997817.0
233,Medium,2100,10033451563.0
234,Reference,2023,136839735.4
235,Reference,2024,272967657.1
236,Reference,2025,408291605.5
237,Reference,2026,542792690.3
238,Reference,2027,676554119.0
239,Reference,2028,809638164.0
240,Reference,2029,942011992.8
241,Reference,2030,1073668252.4
242,Reference,2031,1204608983.0
243,Reference,2032,1334879617.8
244,Reference,2033,1464530529.5
245,Reference,2034,1593590330.9
246,Reference,2035,1722076016.2
247,Reference,2036,1849984791.0
248,Reference,2037,1977329852.4
249,Reference,2038,2104058077.9
250,Reference,2039,2230180311.1
251,Reference,2040,2355700324.2
252,Reference,2041,2480608093.4
253,Reference,2042,2604881153.5
254,Reference,2043,2728435418.1
255,Reference,2044,2851226463.6
256,Reference,2045,2973218626.1
257,Reference,2046,3094383807.9
258,Reference,2047,3214691091.3
259,Reference,2048,3334156137.5
260,Reference,2049,3452747561.3
261,Reference,2050,3570443113.3
262,Reference,2051,3687239201.8
263,Reference,2052,3803126011.3
264,Reference,2053,3918121840.9
265,Reference,2054,4032209147.6
266,Reference,2055,4145379542.9
267,Reference,2056,4257640939.5
268,Reference,2057,4368998376.2
269,Reference,2058,4479472169.6
270,Reference,2059,4589064108.4
271,Reference,2060,4697779719.1
272,Reference,2061,4805626078.2
273,Reference,2062,4912616465.5
274,Reference,2063,5018767380.4
275,Reference,2064,5124081829.9
276,Reference,2065,5228567570.7
277,Reference,2066,5332229021.5
278,Reference,2067,5435079111.9
279,Reference,2068,5537123029.9
280,Reference,2069,5638360700.3
281,Reference,2070,5738793724.2
282,Reference,2071,5838419637.99
283,Reference,2072,5937236871.39
284,Reference,2073,6035244972.97
285,Reference,2074,6132444857.56
286,Reference,2075,6228847521.46
287,Reference,2076,6324457303.33
288,Reference,2077,6419280449.83
289,Reference,2078,6513321548.87
290,Reference,2079,6606589603.56
291,Reference,2080,6699098129.32
292,Reference,2081,6790855274.47
293,Reference,2082,6881872976.86
294,Reference,2083,6972161084.77
295,Reference,2084,7061729511.69
296,Reference,2085,7150585023.33
297,Reference,2086,7238735932.9
298,Reference,2087,7326193370.43
299,Reference,2088,7412967233.77
300,Reference,2089,7499067424.88
301,Reference,2090,7584498495.12
302,Reference,2091,7669275507.57
303,Reference,2092,7753410966.01
304,Reference,2093,7836918308.7300005
305,Reference,2094,7919810475.95
306,Reference,2095,8002093687.96
307,Reference,2096,8083774260.84
308,Reference,2097,8164853087.85
309,Reference,2098,8245327670.31
310,Reference,2099,8325201275.5
311,Reference,2100,8404478127.82
312,SDG Met Need and Education,2023,136917671.9
313,SDG Met Need and Education,2024,273121861.1
314,SDG Met Need and Education,2025,408521043.4
315,SDG Met Need and Education,2026,543097201.1
316,SDG Met Need and Education,2027,676934789.1
317,SDG Met Need and Education,2028,810097745.7
318,SDG Met Need and Education,2029,942554585.6
319,SDG Met Need and Education,2030,1074299894.0
320,SDG Met Need and Education,2031,1205337690.8
321,SDG Met Need and Education,2032,1335722268.0
322,SDG Met Need and Education,2033,1465513143.5
323,SDG Met Need and Education,2034,1594699936.5
324,SDG Met Need and Education,2035,1723280419.8
325,SDG Met Need and Education,2036,1851231868.1
326,SDG Met Need and Education,2037,1978558721.6
327,SDG Met Need and Education,2038,2105192401.4
328,SDG Met Need and Education,2039,2231029319.8
329,SDG Met Need and Education,2040,2355994142.0
330,SDG Met Need and Education,2041,2479995195.5
331,SDG Met Need and Education,2042,2602928825.3
332,SDG Met Need and Education,2043,2724616477.9
333,SDG Met Need and Education,2044,2844877651.9
334,SDG Met Need and Education,2045,2963547666.2
335,SDG Met Need and Education,2046,3080468294.7
336,SDG Met Need and Education,2047,3195474605.9
337,SDG Met Need and Education,2048,3308452554.6
338,SDG Met Need and Education,2049,3419282527.6
339,SDG Met Need and Education,2050,3527841533.7
340,SDG Met Need and Education,2051,3634029117.4
341,SDG Met Need and Education,2052,3737738294.4
342,SDG Met Need and Education,2053,3838917397.9
343,SDG Met Need and Education,2054,3937556042.43
344,SDG Met Need and Education,2055,4033642669.61
345,SDG Met Need and Education,2056,4127187706.77
346,SDG Met Need and Education,2057,4218199569.84
347,SDG Met Need and Education,2058,4306734112.36
348,SDG Met Need and Education,2059,4392891342.92
349,SDG Met Need and Education,2060,4476771689.05
350,SDG Met Need and Education,2061,4558481021.19
351,SDG Met Need and Education,2062,4638128679.03
352,SDG Met Need and Education,2063,4715839805.21
353,SDG Met Need and Education,2064,4791749165.99
354,SDG Met Need and Education,2065,4865990653.94
355,SDG Met Need and Education,2066,4938692990.91
356,SDG Met Need and Education,2067,5009983880.27
357,SDG Met Need and Education,2068,5079976802.02
358,SDG Met Need and Education,2069,5148771021.21
359,SDG Met Need and Education,2070,5216461551.81
360,SDG Met Need and Education,2071,5283132725.42
361,SDG Met Need and Education,2072,5348860859.37
362,SDG Met Need and Education,2073,5413698221.74
363,SDG Met Need and Education,2074,5477677843.84
364,SDG Met Need and Education,2075,5540832936.37
365,SDG Met Need and Education,2076,5603185044.06
366,SDG Met Need and Education,2077,5664754347.98
367,SDG Met Need and Education,2078,5725542226.25
368,SDG Met Need and Education,2079,5785540883.74
369,SDG Met Need and Education,2080,5844744270.73
370,SDG Met Need and Education,2081,5903142583.58
371,SDG Met Need and Education,2082,5960733091.06
372,SDG Met Need and Education,2083,6017505661.01
373,SDG Met Need and Education,2084,6073446981.72
374,SDG Met Need and Education,2085,6128546176.79
375,SDG Met Need and Education,2086,6182798196.03
376,SDG Met Need and Education,2087,6236206744.49
377,SDG Met Need and Education,2088,6288780702.97
378,SDG Met Need and Education,2089,6340530517.59
379,SDG Met Need and Education,2090,6391468579.84
380,SDG Met Need and Education,2091,6441618831.14
381,SDG Met Need and Education,2092,6491008241.26
382,SDG Met Need and Education,2093,6539666244.2
383,SDG Met Need and Education,2094,6587626878.17
384,SDG Met Need and Education,2095,6634918857.49
385,SDG Met Need and Education,2096,6681573791.17
386,SDG Met Need and Education,2097,6727619807.59
387,SDG Met Need and Education,2098,6773086581.61
388,SDG Met Need and Education,2099,6818004484.54
389,SDG Met Need and Education,2100,6862399201.01
