,year_id,"""Births Mp/y""","""Population below 15 k$/p/y Mp""",Population Mp,Working age population Mp,scenario,Births
0,1980,94.6000056058169,3914.770131416267,4420.0,1977.142857142857,Great Leap,94600005
1,1981,97.6594489336384,3940.18636167757,4486.124145774676,2041.694903443853,Great Leap,97659448
2,1982,100.56908285241,3980.744799745539,4555.361669830933,2107.341551238278,Great Leap,100569082
3,1983,103.3169014463257,4030.359976913891,4627.691896481017,2174.1288494331,Great Leap,103316901
4,1984,105.7347385970049,4074.497332483958,4702.930437462069,2243.064313772636,Great Leap,105734738
5,1985,107.7854112796627,4141.727872701224,4780.653642948143,2314.047779989337,Great Leap,107785411
6,1986,109.7496195565449,4241.706182328682,4860.372141385526,2385.036160405858,Great Leap,109749619
7,1987,111.795990394794,4310.736352129953,4941.784657348517,2454.990053106745,Great Leap,111795990
8,1988,113.7769687747512,4334.070372130797,5024.809286042204,2524.672918639743,Great Leap,113776968
9,1989,115.595492702426,4351.891246907743,5109.465661236525,2594.475512901206,Great Leap,115595492
10,1990,117.2830294617339,4366.075995033484,5195.780519056701,2664.114229091434,Great Leap,117283029
11,1991,118.7252278731419,4346.893310258102,5283.721602976505,2733.919807976375,Great Leap,118725227
12,1992,119.7828646316701,4327.567993148096,5373.146993415669,2804.235056113605,Great Leap,119782864
13,1993,120.5487209267141,4359.397687176453,5463.840161420634,2874.491441709491,Great Leap,120548720
14,1994,121.1100627058757,4418.09977251029,5555.577653529688,2944.26408173315,Great Leap,121110062
15,1995,121.3977434062087,4469.789225370497,5648.10578722133,3013.7411123676,Great Leap,121397743
16,1996,121.5035561992972,4549.69787646622,5741.145025609938,3082.664042670222,Great Leap,121503556
17,1997,121.6872539085995,4647.550566676003,5834.502772760065,3150.384106843725,Great Leap,121687253
18,1998,121.9706371024119,4691.63547052544,5928.073374532978,3216.980727877138,Great Leap,121970637
19,1999,122.1068309453777,4657.091691495101,6021.683465355656,3283.258991580792,Great Leap,122106830
20,2000,121.9561004890529,4607.978910304844,6115.03572138718,3349.748523737615,Great Leap,121956100
21,2001,121.6217325746409,4584.350722473681,6207.828136143491,3416.355653613364,Great Leap,121621732
22,2002,121.1413405300234,4530.702755830919,6299.819344086158,3483.145649809417,Great Leap,121141340
23,2003,120.3913769736335,4443.754423031754,6390.746010214864,3550.570240153466,Great Leap,120391376
24,2004,119.402045446961,4415.391256212843,6480.321377721741,3618.688979801967,Great Leap,119402045
25,2005,118.372538731278,4454.806619309229,6568.360088861985,3687.130800815595,Great Leap,118372538
26,2006,117.3884563496986,4481.98408047247,6654.792328893776,3755.750394529176,Great Leap,117388456
27,2007,116.4925900113436,4516.787474850148,6739.593338703708,3824.462186371187,Great Leap,116492590
28,2008,115.8372570946238,4600.424845395769,6822.815971572461,3892.892441616287,Great Leap,115837257
29,2009,115.436331112438,4614.573321905155,6904.591721470374,3960.908541041824,Great Leap,115436331
30,2010,114.9910822436543,4467.577432095182,6984.962639847104,4029.028024188287,Great Leap,114991082
31,2011,114.3067483881585,4315.932816791455,7063.795148642779,4097.56883147448,Great Leap,114306748
32,2012,113.5663169537158,4269.136302531216,7140.967744575292,4166.03199258412,Great Leap,113566316
33,2013,112.8339489114756,4156.772488249236,7216.469057943665,4234.126588030907,Great Leap,112833948
34,2014,111.854774439042,3926.336625271103,7290.214396836529,4302.225912838249,Great Leap,111854774
35,2015,110.6246820742789,3791.393093811092,7362.014232583894,4370.21431786325,Great Leap,110624682
36,2016,109.4477992159302,3785.763674053286,7431.798883113637,4437.343014467592,Great Leap,109447799
37,2017,108.3856033888767,3728.248823494661,7499.631948741842,4503.326182862412,Great Leap,108385603
38,2018,107.358411706825,3692.267326721733,7565.544566167616,4568.168778087209,Great Leap,107358411
39,2019,106.5166044596703,3810.968246130187,7629.585459504793,4631.441202240283,Great Leap,106516604
40,2020,105.9168236284651,3846.831058768089,7691.89351328524,4692.871593141219,Great Leap,105916823
41,2021,105.2001750308995,3609.747724008385,7752.500130069501,4753.012534112863,Great Leap,105200175
42,2022,104.1412155744263,3406.084247846464,7811.208720455406,4812.256231594987,Great Leap,104141215
43,2023,102.9486752519158,3369.830010848904,7867.962226372525,4871.372360864326,Great Leap,102948675
44,2024,101.7476809638166,3164.165293521008,7922.768185746139,4928.77293259272,Great Leap,101747680
45,2025,100.2038941240492,2748.368115101449,7975.491796285043,4985.31715901077,Great Leap,100203894
46,2026,98.42140424593384,2523.63632952683,8025.893395854694,5040.830608734557,Great Leap,98421404
47,2027,96.77023766007514,2442.107211019253,8073.92475006868,5094.601822542094,Great Leap,96770237
48,2028,95.19557253824462,2250.107560522226,8119.643773217127,5146.66253789089,Great Leap,95195572
49,2029,93.61045990926995,2196.845069022705,8163.022586224643,5197.129691362988,Great Leap,93610459
50,2030,92.24472700875633,2405.203232617666,8204.088728105595,5245.542340783479,Great Leap,92244727
51,2031,91.10406556531854,2419.927814001065,8242.978387384024,5291.799113645213,Great Leap,91104065
52,2032,89.75888482490794,2057.573425824928,8279.67243657374,5336.629629999608,Great Leap,89758884
53,2033,88.09474361064032,1866.943250579429,8313.942534225975,5380.287061589525,Great Leap,88094743
54,2034,86.47232180133187,1929.775056399261,8345.675535867971,5422.132950078564,Great Leap,86472321
55,2035,84.8943491642612,1746.784001321246,8374.911775215998,5462.117807690881,Great Leap,84894349
56,2036,83.01210877297639,1361.646006912612,8401.550465413833,5500.889258984159,Great Leap,83012108
57,2037,80.94121854628364,1200.815226230889,8425.401806784486,5538.287508897505,Great Leap,80941218
58,2038,79.02846282836612,1135.012164529658,8446.467903739736,5573.645273854978,Great Leap,79028462
59,2039,77.17867743168601,913.8866351367172,8464.837544985043,5607.057119562755,Great Leap,77178677
60,2040,75.2457522475132,775.4407869356213,8480.48716104398,5638.755223128732,Great Leap,75245752
61,2041,73.46446036671303,868.7907476524953,8493.42728841665,5668.253710824765,Great Leap,73464460
62,2042,71.9484939435522,934.7733161329738,8503.804716783761,5695.229686014871,Great Leap,71948493
63,2043,70.38418036518704,741.4444131903119,8511.696059823298,5720.206553794765,Great Leap,70384180
64,2044,68.59356458599052,599.1579840352715,8517.004344005376,5743.555214525335,Great Leap,68593564
65,2045,66.83207198717275,620.0869091524298,8519.67714208807,5764.794548542138,Great Leap,66832071
66,2046,65.19133430898037,558.4052091943744,8519.794830011346,5783.696537997896,Great Leap,65191334
67,2047,63.43117640102562,369.2083592255353,8517.380466568953,5800.738256912957,Great Leap,63431176
68,2048,61.56688573082874,275.4428514117979,8512.378373798054,5815.931487781651,Great Leap,61566885
69,2049,59.86181841332112,266.6777956417322,8504.833658336012,5828.69553332807,Great Leap,59861818
70,2050,58.30277021675049,229.6132851059656,8494.863140234305,5838.965592776499,Great Leap,58302770
71,2051,57.19393580013371,187.0081194101946,8482.735094287611,5847.050358856479,Great Leap,57193935
72,2052,56.1325090183668,201.5029278437471,8468.712869421604,5852.814146556427,Great Leap,56132509
73,2053,55.18246479446692,215.8039420056965,8452.84923572485,5856.039101400956,Great Leap,55182464
74,2054,54.19060783536733,157.3110784476642,8435.173538010431,5857.05642493906,Great Leap,54190607
75,2055,53.05878747903376,113.5301135456055,8415.641730428939,5856.154523057185,Great Leap,53058787
76,2056,51.94185742331285,111.1993104212488,8394.233726397868,5853.00806938713,Great Leap,51941857
77,2057,50.90685468124119,89.51746203324495,8370.991671127686,5847.433649982333,Great Leap,50906854
78,2058,49.82948861065873,48.50308251791368,8345.93475804499,5839.756388048074,Great Leap,49829488
79,2059,48.72273639699902,36.02940676391135,8319.053347889983,5830.001308301985,Great Leap,48722736
80,2060,47.7287231685811,45.3802492203974,8290.377962956412,5817.788547768598,Great Leap,47728723
81,2061,46.83449230505355,47.49717275232473,8259.960002035648,5803.108347498237,Great Leap,46834492
82,2062,45.91027339092541,34.44496280441397,8227.814684565816,5786.35183914051,Great Leap,45910273
83,2063,44.94070656288591,29.98684642126032,8193.934211378846,5767.649234101472,Great Leap,44940706
84,2064,44.0003939214897,32.12698246515075,8158.328275775024,5746.831914531062,Great Leap,44000393
85,2065,43.07241351612193,24.13397407753581,8121.015445169025,5723.996812376661,Great Leap,43072413
86,2066,42.09970940531197,13.51877786221855,8082.005606317793,5699.42939924411,Great Leap,42099709
87,2067,41.12679581660017,9.7720990565993,8041.315184351719,5673.083975517494,Great Leap,41126795
88,2068,40.21358458095256,8.527888691709244,7998.972328192261,5644.787930079048,Great Leap,40213584
89,2069,39.33362474380633,6.36945961021674,7955.002295864026,5614.674870722391,Great Leap,39333624
90,2070,38.46038521092233,5.586495588459544,7909.428780729572,5582.922973007424,Great Leap,38460385
91,2071,37.62166290505651,7.186967172589533,7862.277672565762,5549.474348430992,Great Leap,37621662
92,2072,36.81803111933152,7.36614753532534,7813.570767934081,5514.36132807771,Great Leap,36818031
93,2073,35.99911601659168,4.492764702148495,7763.334461785182,5477.903882774397,Great Leap,35999116
94,2074,35.16031078351907,3.278948215047181,7711.612952118674,5440.256971964346,Great Leap,35160310
95,2075,34.34991854595523,3.418514848968146,7658.451519486456,5401.249538378906,Great Leap,34349918
96,2076,33.57026470003588,2.182088905125072,7603.882439885144,5360.902401433463,Great Leap,33570264
97,2077,32.78920466352764,0.8915821148681746,7547.949535636211,5319.488121718628,Great Leap,32789204
98,2078,32.02232969040601,0.7119264378940549,7490.712083770406,5276.999882510111,Great Leap,32022329
99,2079,31.3021410923929,1.112937978485096,7432.206976093126,5233.223631226209,Great Leap,31302141
100,2080,30.61533813812085,1.127390913507321,7372.450471582126,5188.244232658736,Great Leap,30615338
101,2081,29.92972264417907,0.7031456285708774,7311.484258409408,5142.37704479188,Great Leap,29929722
102,2082,29.24788285105048,0.64161316747304,7249.377838176713,5095.698450785595,Great Leap,29247882
103,2083,28.58865374195855,0.7633333739623868,7186.185290029784,5048.088932034194,Great Leap,28588653
104,2084,27.94447237802091,0.4893573078928311,7121.947318332685,4999.656776128337,Great Leap,27944472
105,2085,27.30164011223789,0.2065802296423138,7056.732557175449,4950.634502233862,Great Leap,27301640
106,2086,26.67252970908942,0.1418450250335543,6990.620158392903,4900.968137136102,Great Leap,26672529
107,2087,26.06951967502381,0.1286564008136649,6923.651662637881,4850.510985051962,Great Leap,26069519
108,2088,25.4838347817823,0.0877912503412616,6855.85407628328,4799.379244838065,Great Leap,25483834
109,2089,24.90817623749152,0.07403932569416627,6787.280322083912,4747.72398107222,Great Leap,24908176
110,2090,24.34838728376663,0.1111266579427135,6717.981837667478,4695.482813169611,Great Leap,24348387
111,2091,23.80419834121598,0.1189942922201124,6647.985366294924,4642.660949665835,Great Leap,23804198
112,2092,23.26397125149835,0.05725029558756861,6577.3408602254,4589.52446748273,Great Leap,23263971
113,2093,22.72640813853643,0.03632460054213701,6506.141892176951,4536.205961070128,Great Leap,22726408
114,2094,22.20182435336008,0.04134081469885829,6434.457336512309,4482.53362127517,Great Leap,22201824
115,2095,21.69018108857827,0.02304446590494061,6362.311029377628,4428.498528701183,Great Leap,21690181
116,2096,21.18359686717525,0.006266568180719209,6289.754153919075,4374.353029639595,Great Leap,21183596
117,2097,20.68444547385204,0.004830176739502318,6216.867325727042,4320.102875896586,Great Leap,20684445
118,2098,20.19933054700945,0.01104669073925206,6143.678403734915,4265.516376704443,Great Leap,20199330
119,2099,19.72532593287256,0.01189146589520677,6070.174467567516,4210.641304648445,Great Leap,19725325
120,2100,19.25485058114436,0.004937356232712045,5996.396255954904,4155.804652030389,Great Leap,19254850
0,1980,94.6000056058169,3914.770131416267,4420.0,1977.142857142857,Too Little Too Late,94600005
1,1981,97.6594489336384,3940.18636167757,4486.124145774676,2041.694903443853,Too Little Too Late,97659448
2,1982,100.56908285241,3980.744799745539,4555.361669830933,2107.341551238278,Too Little Too Late,100569082
3,1983,103.3169014463257,4030.359976913891,4627.691896481017,2174.1288494331,Too Little Too Late,103316901
4,1984,105.7347385970049,4074.497332483958,4702.930437462069,2243.064313772636,Too Little Too Late,105734738
5,1985,107.7854112796627,4141.727872701224,4780.653642948143,2314.047779989337,Too Little Too Late,107785411
6,1986,109.7496195565449,4241.706182328682,4860.372141385526,2385.036160405858,Too Little Too Late,109749619
7,1987,111.795990394794,4310.736352129953,4941.784657348517,2454.990053106745,Too Little Too Late,111795990
8,1988,113.7769687747512,4334.070372130797,5024.809286042204,2524.672918639743,Too Little Too Late,113776968
9,1989,115.595492702426,4351.891246907743,5109.465661236525,2594.475512901206,Too Little Too Late,115595492
10,1990,117.2830294617339,4366.075995033484,5195.780519056701,2664.114229091434,Too Little Too Late,117283029
11,1991,118.7252278731419,4346.893310258102,5283.721602976505,2733.919807976375,Too Little Too Late,118725227
12,1992,119.7828646316701,4327.567993148096,5373.146993415669,2804.235056113605,Too Little Too Late,119782864
13,1993,120.5487209267141,4359.397687176453,5463.840161420634,2874.491441709491,Too Little Too Late,120548720
14,1994,121.1100627058757,4418.09977251029,5555.577653529688,2944.26408173315,Too Little Too Late,121110062
15,1995,121.3977434062087,4469.789225370497,5648.10578722133,3013.7411123676,Too Little Too Late,121397743
16,1996,121.5035561992972,4549.69787646622,5741.145025609938,3082.664042670222,Too Little Too Late,121503556
17,1997,121.6872539085995,4647.550566676003,5834.502772760065,3150.384106843725,Too Little Too Late,121687253
18,1998,121.9706371024119,4691.63547052544,5928.073374532978,3216.980727877138,Too Little Too Late,121970637
19,1999,122.1068309453777,4657.091691495101,6021.683465355656,3283.258991580792,Too Little Too Late,122106830
20,2000,121.9561004890529,4607.978910304844,6115.03572138718,3349.748523737615,Too Little Too Late,121956100
21,2001,121.6217325746409,4584.350722473681,6207.828136143491,3416.355653613364,Too Little Too Late,121621732
22,2002,121.1413405300234,4530.702755830919,6299.819344086158,3483.145649809417,Too Little Too Late,121141340
23,2003,120.3913769736335,4443.754423031754,6390.746010214864,3550.570240153466,Too Little Too Late,120391376
24,2004,119.402045446961,4415.391256212843,6480.321377721741,3618.688979801967,Too Little Too Late,119402045
25,2005,118.372538731278,4454.806619309229,6568.360088861985,3687.130800815595,Too Little Too Late,118372538
26,2006,117.3884563496986,4481.98408047247,6654.792328893776,3755.750394529176,Too Little Too Late,117388456
27,2007,116.4925900113436,4516.787474850148,6739.593338703708,3824.462186371187,Too Little Too Late,116492590
28,2008,115.8372570946238,4600.424845395769,6822.815971572461,3892.892441616287,Too Little Too Late,115837257
29,2009,115.436331112438,4614.573321905155,6904.591721470374,3960.908541041824,Too Little Too Late,115436331
30,2010,114.9910822436543,4467.577432095182,6984.962639847104,4029.028024188287,Too Little Too Late,114991082
31,2011,114.3067483881585,4315.932816791455,7063.795148642779,4097.56883147448,Too Little Too Late,114306748
32,2012,113.5663169537158,4269.136302531216,7140.967744575292,4166.03199258412,Too Little Too Late,113566316
33,2013,112.8339489114756,4156.772488249236,7216.469057943665,4234.126588030907,Too Little Too Late,112833948
34,2014,111.854774439042,3926.336625271103,7290.214396836529,4302.225912838249,Too Little Too Late,111854774
35,2015,110.6246820742789,3791.393093811092,7362.014232583894,4370.21431786325,Too Little Too Late,110624682
36,2016,109.4477992159302,3785.763674053286,7431.798883113637,4437.343014467592,Too Little Too Late,109447799
37,2017,108.3856033888767,3728.248823494661,7499.631948741842,4503.326182862412,Too Little Too Late,108385603
38,2018,107.358411706825,3692.267326721733,7565.544566167616,4568.168778087209,Too Little Too Late,107358411
39,2019,106.5166044596703,3810.968246130187,7629.585459504793,4631.441202240283,Too Little Too Late,106516604
40,2020,105.9168236284651,3846.831058768089,7691.89351328524,4692.871593141219,Too Little Too Late,105916823
41,2021,105.2001750308995,3609.747724008385,7752.500130069501,4753.012534112863,Too Little Too Late,105200175
42,2022,104.1412155744263,3406.084247846464,7811.208720455406,4812.256231594987,Too Little Too Late,104141215
43,2023,103.8037532555427,3403.325545639975,7868.383890528827,4871.36221940607,Too Little Too Late,103803753
44,2024,103.4728195655498,3283.316712555802,7924.460289518841,4928.657910324268,Too Little Too Late,103472819
45,2025,102.8231408466099,2952.60309183376,7979.307396827459,4984.960070674509,Too Little Too Late,102823140
46,2026,101.8697176766426,2754.65901150668,8032.656137815956,5040.249744419469,Too Little Too Late,101869717
47,2027,101.0117193946218,2743.233640988399,8084.402428832293,5093.795894580234,Too Little Too Late,101011719
48,2028,100.2899997574721,2652.908243411957,8134.60883052072,5145.46974917174,Too Little Too Late,100289999
49,2029,99.5368172791905,2586.979715653092,8183.261223694935,5195.523526531315,Too Little Too Late,99536817
50,2030,98.90408669116201,2746.455656210645,8230.335018036734,5243.66591581528,Too Little Too Late,98904086
51,2031,98.49261174406223,2832.789842000238,8275.927126546785,5289.659858224507,Too Little Too Late,98492611
52,2032,97.9466283809503,2597.854501553695,8320.04629393584,5334.066964788771,Too Little Too Late,97946628
53,2033,97.06003217159198,2432.519472537147,8362.474354261907,5377.272535514596,Too Little Too Late,97060032
54,2034,96.15250628298104,2510.594071082113,8403.052446734624,5418.766806199128,Too Little Too Late,96152506
55,2035,95.32081829904527,2434.610021196147,8441.805539275554,5458.364230336597,Too Little Too Late,95320818
56,2036,94.21880487539305,2110.360880164304,8478.651385561212,5496.658610062052,Too Little Too Late,94218804
57,2037,92.87190690362742,1930.674528116101,8513.370020753799,5533.673398614696,Too Little Too Late,92871906
58,2038,91.66936119669212,1909.93201595417,8545.919467132771,5568.777074467836,Too Little Too Late,91669361
59,2039,90.60289001321154,1764.699651887881,8576.4073688764,5601.953032659729,Too Little Too Late,90602890
60,2040,89.4567281459998,1631.613228691008,8604.831889548346,5633.566791989623,Too Little Too Late,89456728
61,2041,88.39156900847225,1759.003851157134,8631.168599283443,5663.371062878075,Too Little Too Late,88391569
62,2042,87.57502762053002,1887.243415375125,8655.539544381665,5691.054887629164,Too Little Too Late,87575027
63,2043,86.71584787322176,1708.78003212705,8678.02740040525,5717.085606970969,Too Little Too Late,86715847
64,2044,85.58335881488415,1551.556783349971,8698.510334644649,5741.914207552362,Too Little Too Late,85583358
65,2045,84.44929379622138,1627.798342481131,8716.895483959517,5765.140947143585,Too Little Too Late,84449293
66,2046,83.45964279902796,1590.707690522758,8733.266066872016,5786.507241499195,Too Little Too Late,83459642
67,2047,82.32699746990467,1289.484490459606,8747.645017591109,5806.51204032596,Too Little Too Late,82326997
68,2048,81.01464370411179,1092.333554475794,8759.921778128917,5825.285695202047,Too Little Too Late,81014643
69,2049,79.86567482092127,1098.042656312108,8770.110869866376,5842.254713867543,Too Little Too Late,79865674
70,2050,78.91524551280351,1048.967047430438,8778.367338698634,5857.307349121311,Too Little Too Late,78915245
71,2051,77.92241593734096,940.9946840839107,8784.753132499836,5870.848721210974,Too Little Too Late,77922415
72,2052,76.9295154164782,994.1114420717288,8789.255496381364,5882.826455335956,Too Little Too Late,76929515
73,2053,76.09536115989735,1092.232762738063,8791.948565464914,5892.939620691778,Too Little Too Late,76095361
74,2054,75.25764835013605,986.8666525231064,8792.909124225338,5901.454348848592,Too Little Too Late,75257648
75,2055,74.22510870563433,854.1196781110027,8792.081086445542,5908.762688886335,Too Little Too Late,74225108
76,2056,73.17582423990379,860.5957320531826,8789.40824803471,5914.594937807447,Too Little Too Late,73175824
77,2057,72.25745398473282,811.6207072642526,8784.956883677833,5918.668653207687,Too Little Too Late,72257453
78,2058,71.29290258059208,596.0957658304368,8778.77474193668,5921.310420817748,Too Little Too Late,71292902
79,2059,70.23374088134632,481.9102798541906,8770.822148144003,5922.662955986551,Too Little Too Late,70233740
80,2060,69.30322338844621,530.9718282816676,8761.12352516527,5922.31641613313,Too Little Too Late,69303223
81,2061,68.54027909869174,559.3809509549275,8749.789061376494,5920.151798298017,Too Little Too Late,68540279
82,2062,67.74274103377215,493.9449280135432,8736.86761566279,5916.558417531118,Too Little Too Late,67742741
83,2063,66.86193753630614,482.9571514215005,8722.327920561116,5911.685834971046,Too Little Too Late,66861937
84,2064,66.03542197105133,537.1227484547563,8706.176616111865,5905.287404247712,Too Little Too Late,66035421
85,2065,65.24270563396873,492.365054621695,8688.4598100717,5897.406555536412,Too Little Too Late,65242705
86,2066,64.34766206776898,378.04563874078,8669.171663958807,5888.372651276937,Too Little Too Late,64347662
87,2067,63.41182283902159,321.5746609585515,8648.28648290218,5878.125822568159,Too Little Too Late,63411822
88,2068,62.57208921428621,293.7880971659202,8625.841824480036,5866.3863161962,Too Little Too Late,62572089
89,2069,61.77810528458415,233.5795331391406,8601.895584198806,5853.258585516222,Too Little Too Late,61778105
90,2070,60.94949441306066,200.5068760998169,8576.464912808306,5838.959298042376,Too Little Too Late,60949494
91,2071,60.16438944849247,234.6877812603655,8549.569939273842,5823.343235757083,Too Little Too Late,60164389
92,2072,59.47007634597824,267.8522728421622,8521.265609223767,5806.290489376614,Too Little Too Late,59470076
93,2073,58.74912093332242,226.5196461713033,8491.588502919678,5788.098840704795,Too Little Too Late,58749120
94,2074,57.94229590368123,196.1968467909969,8460.536584886439,5768.990964629224,Too Little Too Late,57942295
95,2075,57.15835222830828,207.6433181488865,8428.12724590887,5748.751603161769,Too Little Too Late,57158352
96,2076,56.43385207545366,179.5100357632909,8394.410488686764,5727.29137533859,Too Little Too Late,56433852
97,2077,55.67548338331719,109.513872286697,8359.42225645832,5704.89318770976,Too Little Too Late,55675483
98,2078,54.89178772715672,83.7670703787588,8323.186435544634,5681.604935805348,Too Little Too Late,54891787
99,2079,54.18390088566616,96.55263811079786,8285.749466175777,5657.158742214222,Too Little Too Late,54183900
100,2080,53.54169933669512,98.02594007895205,8247.166498684326,5631.563710368664,Too Little Too Late,53541699
101,2081,52.87747007697752,82.91640608074438,8207.47686835383,5605.11387268925,Too Little Too Late,52877470
102,2082,52.194010461807,86.97037791589158,8166.715066361522,5577.866231468824,Too Little Too Late,52194010
103,2083,51.54823598453097,102.4416065158877,8124.924798311466,5549.667931251979,Too Little Too Late,51548235
104,2084,50.91455713447579,85.13389202536092,8082.150184082435,5520.622054803258,Too Little Too Late,50914557
105,2085,50.24305689182465,57.13670741933705,8038.433267038272,5490.96756917478,Too Little Too Late,50243056
106,2086,49.57462014769125,46.07704026841603,7993.822174783343,5460.628207681116,Too Little Too Late,49574620
107,2087,48.95722840411054,39.9815955092059,7948.364560484295,5429.433222748634,Too Little Too Late,48957228
108,2088,48.35849666410914,28.61886945722016,7902.102082972413,5397.515038445286,Too Little Too Late,48358496
109,2089,47.75132904009299,24.44834976065917,7855.080686485126,5365.034310874324,Too Little Too Late,47751329
110,2090,47.17061662657923,32.55996624280301,7807.34691284092,5331.875812272527,Too Little Too Late,47170616
111,2091,46.62654830629275,38.29633534868827,7758.935503243705,5297.98929879572,Too Little Too Late,46626548
112,2092,46.07084604653515,29.12509698881695,7709.883829487505,5263.633922205894,Too Little Too Late,46070846
113,2093,45.49092893753811,24.16786490217519,7660.247627841117,5228.957252271639,Too Little Too Late,45490928
114,2094,44.93140529767944,26.27388014009894,7610.078240773853,5193.780084275414,Too Little Too Late,44931405
115,2095,44.39822288936407,19.18638353088667,7559.406129786569,5158.069271790027,Too Little Too Late,44398222
116,2096,43.85634674352849,9.08342565356785,7508.270472099951,5122.065838491892,Too Little Too Late,43856346
117,2097,43.31389729343243,7.029385342312096,7456.727277272234,5085.789458580546,Too Little Too Late,43313897
118,2098,42.80456172546895,9.747494706768604,7404.809644889907,5049.02687946374,Too Little Too Late,42804561
119,2099,42.3190984750651,10.16027859829712,7352.5264285156,5011.81514465466,Too Little Too Late,42319098
120,2100,41.82492447839333,7.67835345536788,7299.909445991988,4974.425704162098,Too Little Too Late,41824924
